Loading rom...Done
                   x |   x | xx, loadOut:x --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||outputRow: xxxxxxxxxxxxxxxx
                   0 |   0 | 00, loadOut:1 --- inputRow: 8181828383848585878788898a8b8c ||outputRow: 0000000000000000
                   1 |   0 | 01, loadOut:1 --- inputRow: 8182828384848585878888898b8c8c ||outputRow: xxxxxxxxxxxxxxxx
                   2 |   0 | 02, loadOut:1 --- inputRow: 82828383848586868888898a8b8c8d ||outputRow: 0000000000000000
                   3 |   0 | 03, loadOut:1 --- inputRow: 828383848586868688898a8b8c8d8e ||outputRow: 8384848587878889
                   4 |   0 | 04, loadOut:1 --- inputRow: 838384858686878789898a8b8c8d8e ||outputRow: 8484858587878889
                   5 |   1 | 05, loadOut:1 --- inputRow: 84848585868787888a8a8b8c8d8e8f ||outputRow: 848585868888898a
                   6 |   2 | 06, loadOut:0 --- inputRow: 84848586878788888a8b8b8c8e8f8f ||outputRow: 8586858688898a8b
                   7 |   3 | 07, loadOut:0 --- inputRow: 84858586878888898a8b8c8d8e8f90 ||outputRow: 8686878789898a8b
                   8 |   4 | 08, loadOut:0 --- inputRow: 848485868788898a8c8c8d8e909192 ||outputRow: 868787888a8a8b8c
                   9 |   5 | 09, loadOut:0 --- inputRow: 848585868889898a8c8c8d8f909192 ||outputRow: 878788888a8a8b8c
                  10 |   6 | 0a, loadOut:0 --- inputRow: 8585868788898a8a8c8d8e8f909293 ||outputRow: 878888898a8b8c8d
                  11 |   7 | 0b, loadOut:0 --- inputRow: 85868788898a8b8b8d8d8e90919293 ||outputRow: 8788898a8c8c8d8e
                  12 |   8 | 0c, loadOut:0 --- inputRow: 86868788898a8b8c8e8e8f90929394 ||outputRow: 8889898a8c8c8d8f
                  13 |   9 | 0d, loadOut:0 --- inputRow: 878788898a8b8c8c8e8f9091929495 ||outputRow: 8889898a8c8d8e8f
                  14 |  10 | 0e, loadOut:1 --- inputRow: 878888898b8c8c8d8f8f9092939495 ||outputRow: 898a8a8b8d8d8e90
                  15 |  11 | 0f, loadOut:1 --- inputRow: 8788898a8b8c8d8d8f909192939495 ||outputRow: 898a8b8c8e8e8f90
                  16 |  12 | 10, loadOut:1 --- inputRow: 87898a8b8b8c8e9090919293959798 ||outputRow: 8a8b8b8c8e8f9091
                  17 |  13 | 11, loadOut:1 --- inputRow: 87898b8b8c8c8e9090919294959798 ||outputRow: 8b8c8c8d8f8f9092
                  18 |  14 | 12, loadOut:1 --- inputRow: 88898b8c8c8d8f9091929394969799 ||outputRow: 8b8c8c8d8f8f9092
                  19 |  15 | 13, loadOut:1 --- inputRow: 888a8c8d8d8e8f9191929395969899 ||outputRow: 8b8c8c8d8f8f9092
                  20 |  16 | 14, loadOut:0 --- inputRow: 898b8c8d8d8e90929293949697999a ||outputRow: 8e8e8d8c8b8b8a8a
                  21 |  17 | 15, loadOut:0 --- inputRow: 8a8b8d8e8e8f91929393959698999a ||outputRow: 8d8c8c8b8b8a8989
                  22 |  18 | 16, loadOut:0 --- inputRow: 8a8c8e8e8f8f919393949597989a9b ||outputRow: 8c8b8b8a8a898988
                  23 |  19 | 17, loadOut:0 --- inputRow: 8a8c8e8f8f90919394949597999a9b ||outputRow: 8b8c8b898a898888
